id,name,name_en,province_id,tier_id
1,上海,ShangHai,1,1
2,北京,BeiJing,2,1
3,天津,TianJin,3,1
4,重庆,ChongQing,4,2
5,广州,GuangZhou,5,1
6,深圳,ShenZhen,5,1
7,东莞,DongGuan,5,3
8,珠海,ZhuHai,5,4
9,佛山,FoShan,5,3
10,汕头,ShanTou,5,3
11,惠州,HuiZhou,5,3
12,揭阳,JieYang,5,3
13,河源,HeYuan,5,4
14,阳江,YangJiang,5,4
15,茂名,MaoMing,5,4
16,湛江,ZhanJiang,5,3
17,梅州,MeiZhou,5,4
18,肇庆,ZhaoQing,5,3
19,韶关,ShaoGuan,5,4
20,潮州,ChaoZhou,5,3
21,中山,ZhongShan,5,3
22,清远,QingYuan,5,4
23,江门,JiangMen,5,3
24,汕尾,ShanWei,5,4
25,云浮,YunFu,5,5
26,杭州,HangZhou,6,2
27,宁波,NingBo,6,3
28,温州,WenZhou,6,3
29,绍兴,ShaoXing,6,2
30,嘉兴,JiaXing,6,3
31,湖州,HuZhou,6,3
32,金华,JinHua,6,3
33,衢州,QuZhou,6,4
34,台州,TaiZhou,6,3
35,丽水,LiShui,6,4
36,舟山,ZhouShan,6,4
37,南京,NaJing,7,2
38,无锡,WuXi,7,2
39,徐州,XuZhou,7,3
40,常州,ChangZhou,7,3
41,苏州市,Suzhou,7,2
42,南通,NaTong,7,2
43,扬州,YangZhou,7,3
44,连云港市,LianYunGangShi,7,3
45,淮安市,HuaiAnShi,7,3
46,盐城市,YanChengShi,7,3
47,镇江市,ZhenJiangShi,7,3
48,泰州市,TaiZhouShi,7,3
49,宿迁市,SuQianShi,7,4
50,福州,FuZhou,8,2
51,厦门,XiaMen,8,3
52,莆田,PuTian,8,4
53,三明,SanMing,8,4
54,漳州市,ZhangZhouShi,8,3
55,泉州市,QuanZhouShi,8,3
56,南平市,NaPingShi,8,3
57,龙岩市,LongYanShi,8,3
58,宁德市,NingDeShi,8,3
59,平潭综合实验区,PingTanZongHeShiYanQu,8,3
60,济南,JiNan,9,2
61,青岛,QingDao,9,2
62,淄博,ZiBo,9,3
63,枣庄,ZaoZhuang,9,3
64,东营,DongYing,9,3
65,烟台,YanTai,9,3
66,潍坊,WeiFang,9,3
67,济宁,JiNing,9,3
68,泰安,TaiAn,9,3
69,威海,WeiHai,9,3
70,日照,RiZhao,9,4
71,滨州,BinZhou,9,3
72,德州,DeZhou,9,3
73,聊城,LiaoCheng,9,3
74,临沂,LinYi,9,3
75,菏泽,HeZe,9,3
76,沈阳,ShenYang,10,2
77,大连,DaLian,10,3
78,鞍山市,AnShanShi,10,3
79,抚顺市,FuShunShi,10,4
80,本溪市,BenXiShi,10,4
81,丹东市,DanDongShi,10,4
82,锦州市,JinZhouShi,10,4
83,营口市,YingKouShi,10,4
84,阜新市,FuXinShi,10,3
85,辽阳市,LiaoYangShi,10,3
86,盘锦市,PanJinShi,10,4
87,铁岭市,TieLingShi,10,4
88,朝阳市,ChaoYangShi,10,4
89,葫芦岛市,HuLuDaoShi,10,4
90,长春,ChangChun,11,2
91,吉林,JiLin,11,3
92,延边朝鲜族自治州,YanBianChaoXianZuZiZhiZhou,11,4
93,四平市,SiPingShi,11,5
94,通化市,TongHuaShi,11,4
95,白城市,BaiChengShi,11,5
96,辽源市,LiaoYuanShi,11,4
97,松原市,SongYuanShi,11,4
98,白山市,BaiShanShi,11,4
99,哈尔滨,HaErBin,12,2
100,齐齐哈尔,QiQiHaEr,12,3
101,牡丹江市,MuDanJiangShi,12,4
102,佳木斯市,JiaMuSiShi,12,4
103,大庆市,DaQingShi,12,3
104,鸡西市,JiXiShi,12,5
105,双鸭山市,ShuangYaShanShi,12,5
106,伊春市,YiChunShi,12,5
107,七台河市,QiTaiHeShi,12,5
108,鹤岗市,HeGangShi,12,5
109,黑河市,HeiHeShi,12,5
110,绥化市,SuiHuaShi,12,4
111,大兴安岭地区,DaXingAnLingDiQu,12,5
112,合肥,hefei,13,2
113,芜湖,wuhu,13,3
114,蚌埠,bengbu,13,4
115,淮南,huainan,13,4
116,亳州,bozhou,13,4
117,阜阳,fuyang,13,4
118,淮北,huaibei,13,5
119,宿州,suzhou,13,4
120,滁州,chuzhou,13,3
121,安庆,anqing,13,4
122,马鞍山,maanshan,13,4
123,宣城,xuancheng,13,4
124,黄山,huangshan,13,4
125,池州,chizhou,13,5
126,铜陵,tongling,13,3
127,六安,Liuan,13,4
128,南昌,NaChang,14,2
129,九江,JiuJiang,14,3
130,上饶,ShangRao,14,3
131,抚州,FuZhou,14,4
132,宜春,YiChun,14,3
133,吉安,JiAn,14,4
134,赣州,GanZhou,14,3
135,景德镇,JingDeZhen,14,4
136,萍乡,PingXiang,14,5
137,新余,XinYu,14,5
138,鹰潭,YingTan,14,5
139,石家庄市,ShiJiaZhuangShi,15,2
140,唐山市,TangShanShi,15,3
141,秦皇岛市,QinHuangDaoShi,15,4
142,邯郸市,HanDanShi,15,3
143,邢台市,XingTaiShi,15,3
144,保定市,BaoDingShi,15,3
145,张家口市,ZhangJiaKouShi,15,4
146,承德市,ChengDeShi,15,4
147,沧州市,CangZhouShi,15,3
148,廊坊市,LangFangShi,15,3
149,衡水市,HengShuiShi,15,4
150,郑州市,ZhengZhouShi,16,2
151,开封市,KaiFengShi,16,3
152,洛阳市,LuoYangShi,16,3
153,平顶山市,PingDingShanShi,16,3
154,安阳市,AnYangShi,16,3
155,鹤壁市,HeBiShi,16,4
156,新乡市,XinXiangShi,16,3
157,焦作市,JiaoZuoShi,16,4
158,濮阳市,PuYangShi,16,4
159,许昌市,XuChangShi,16,3
160,漯河市,LuoHeShi,16,4
161,三门峡市,SanMenXiaShi,16,4
162,商丘市,ShangQiuShi,16,3
163,周口市,ZhouKouShi,16,3
164,驻马店市,ZhuMaDianShi,16,3
165,南阳市,NanYangShi,16,3
166,信阳市,XinYangShi,16,3
167,济源市,JiYuanShi,16,5
168,武汉市,WuHan,17,2
169,黄石市,HuangShi,17,4
170,十堰市,ShiYanShi,17,4
171,宜昌市,YiChangShi,17,3
