id,name,name_en
1,上海,ShangHai
2,北京,BeiJing
3,天津,TianJin
4,重庆,ChongQing
5,广东,GuangDong
6,浙江省,ZheJiang
7,江苏省,JianSu
8,福建省,FuJiansheng
9,山东省,ShanDongSheng
10,辽宁省,LiaoNingSheng
11,吉林省,JiLinSheng
12,黑龙江,HeiLongJiang
13,安徽省,anhuisheng
14,江西省,JiangXiSheng
15,河北省,HeBeiSheng
16,河南省,HeNan
17,湖北省,hubeisheng
18,湖南省,hunansheng
19,广西,GuangXi
20,海南,HaiNan
21,四川,SiChuan
22,贵州,GuiZhou
23,云南,YunNan
24,陕西,ShanXi
25,甘肃,GanSu
26,山西,SanXi
27,青海,QingHai
28,宁夏,NingXia
29,西藏,XiZang
30,新疆,XinJiang
31,内蒙古,NeiMengGu
32,台湾省,TaiWanSheng
